participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
4862,25,129,5,19236.7,Post,image12.jpg,Cut_jazz_14.mp3,Both,7.0,8.0,,,image12.jpg,Cut_jazz_14.mp3,7.5,7.5,-2.5
4862,26,130,7,894.5,Post,image36.jpg,Classical_19.mp3,Music,3.0,8.0,8.0,3.0,,Classical_19.mp3,5.5,8.0,-1.0
4862,27,131,7,1964.09999999986,Post,image3.jpg,Classical_7.mp3,Music,5.0,7.0,7.0,5.0,,Classical_7.mp3,6.0,7.0,0.0
4862,28,132,7,4057.90000000014,Post,image17.jpg,Classical_17.mp3,Music,6.0,6.0,6.0,6.0,,Classical_17.mp3,6.0,6.0,1.0
4862,29,133,7,4715.80000000005,Post,image34.jpg,Classical_4.mp3,Music,4.0,6.0,6.0,4.0,,Classical_4.mp3,5.0,6.0,1.0
4862,30,134,8,629.899999999907,Post,image15.jpg,Classical_18.mp3,Music,5.0,8.0,8.0,5.0,,Classical_18.mp3,6.5,8.0,0.0
4862,31,135,7,7352.5,Post,image12.jpg,Cut_jazz_19.mp3,Image,7.0,7.0,7.0,7.0,image12.jpg,,7.0,7.0,0.0
4862,32,136,6,2578.69999999995,Post,image2.jpg,Classical_6.mp3,Music,5.0,8.0,8.0,5.0,,Classical_6.mp3,6.5,8.0,-2.0
4862,33,137,5,2981.30000000005,Post,image3.jpg,Classical_8.mp3,Image,5.0,9.0,5.0,9.0,image3.jpg,,7.0,5.0,0.0
4862,34,138,6,1878.79999999981,Post,image52.jpg,Cut_jazz_7.mp3,Music,3.0,8.0,8.0,3.0,,Cut_jazz_7.mp3,5.5,8.0,-2.0
4862,35,139,4,870.699999999953,Post,image10.jpg,Cut_jazz_14.mp3,Image,3.0,8.0,3.0,8.0,image10.jpg,,5.5,3.0,1.0
4862,36,140,7,928.600000000093,Post,image35.jpg,Classical_1.mp3,Both,7.0,8.0,,,image35.jpg,Classical_1.mp3,7.5,7.5,-0.5
4862,37,141,6,759.40000000014,Post,image1.jpg,Cut_jazz_14.mp3,Music,2.0,8.0,8.0,2.0,,Cut_jazz_14.mp3,5.0,8.0,-2.0
4862,38,142,5,548.699999999953,Post,image2.jpg,Classical_7.mp3,Image,5.0,7.0,5.0,7.0,image2.jpg,,6.0,5.0,0.0
4862,39,143,7,2561.30000000005,Post,image39.jpg,Classical_19.mp3,Image,6.0,8.0,6.0,8.0,image39.jpg,,7.0,6.0,1.0
4862,40,144,9,826.800000000047,Post,image47.jpg,Cut_jazz_7.mp3,Image,9.0,8.0,9.0,8.0,image47.jpg,,8.5,9.0,0.0
4862,41,145,9,623.800000000047,Post,image39.jpg,Cut_jazz_2.mp3,Music,6.0,9.0,9.0,6.0,,Cut_jazz_2.mp3,7.5,9.0,0.0
4862,42,146,8,578.800000000047,Post,image3.jpg,Classical_6.mp3,Both,5.0,8.0,,,image3.jpg,Classical_6.mp3,6.5,6.5,1.5
4862,43,147,4,910.0,Post,image52.jpg,Cut_jazz_10.mp3,Image,3.0,5.0,3.0,5.0,image52.jpg,,4.0,3.0,1.0
4862,44,148,4,2026.69999999995,Post,image33.jpg,Classical_4.mp3,Both,4.0,6.0,,,image33.jpg,Classical_4.mp3,5.0,5.0,-1.0
4862,45,149,7,908.600000000093,Post,image10.jpg,Cut_jazz_19.mp3,Music,3.0,7.0,7.0,3.0,,Cut_jazz_19.mp3,5.0,7.0,0.0
4862,46,150,6,1063.30000000005,Post,image5.jpg,Cut_jazz_7.mp3,Both,6.0,8.0,,,image5.jpg,Cut_jazz_7.mp3,7.0,7.0,-1.0
4862,47,151,5,881.800000000279,Post,image1.jpg,Cut_jazz_19.mp3,Both,2.0,7.0,,,image1.jpg,Cut_jazz_19.mp3,4.5,4.5,0.5
4862,48,152,4,860.599999999627,Post,image15.jpg,Classical_17.mp3,Both,5.0,6.0,,,image15.jpg,Classical_17.mp3,5.5,5.5,-1.5
4862,49,153,9,525.899999999907,Post,image47.jpg,Cut_jazz_10.mp3,Both,9.0,5.0,,,image47.jpg,Cut_jazz_10.mp3,7.0,7.0,2.0
4862,50,154,6,660.299999999814,Post,image20.jpg,Classical_7.mp3,Both,5.0,7.0,,,image20.jpg,Classical_7.mp3,6.0,6.0,0.0
4862,51,155,8,626.100000000093,Post,image47.jpg,Cut_jazz_5.mp3,Music,9.0,7.0,7.0,9.0,,Cut_jazz_5.mp3,8.0,7.0,1.0
4862,52,156,7,2163.19999999972,Post,image34.jpg,Classical_2.mp3,Both,4.0,8.0,,,image34.jpg,Classical_2.mp3,6.0,6.0,1.0
4862,53,157,6,546.099999999627,Post,image17.jpg,Classical_15.mp3,Both,6.0,7.0,,,image17.jpg,Classical_15.mp3,6.5,6.5,-0.5
4862,54,158,5,1231.60000000009,Post,image33.jpg,Classical_2.mp3,Image,4.0,8.0,4.0,8.0,image33.jpg,,6.0,4.0,1.0
4862,55,159,5,1369.5,Post,image4.jpg,Cut_jazz_2.mp3,Image,2.0,9.0,2.0,9.0,image4.jpg,,5.5,2.0,3.0
4862,56,160,6,3873.0,Post,image5.jpg,Cut_jazz_5.mp3,Image,6.0,7.0,6.0,7.0,image5.jpg,,6.5,6.0,0.0
4862,57,161,6,1956.89999999991,Post,image36.jpg,Cut_jazz_1.mp3,Image,3.0,8.0,3.0,8.0,image36.jpg,,5.5,3.0,3.0
4862,4,162,8,729.0,Pre,image14.jpg,Cut_jazz_19.mp3,Both,7.0,7.0,,,image14.jpg,Cut_jazz_19.mp3,7.0,7.0,1.0
4862,5,163,7,706.100000000093,Pre,image17.jpg,Cut_jazz_14.mp3,Both,6.0,8.0,,,image17.jpg,Cut_jazz_14.mp3,7.0,7.0,0.0
4862,6,164,6,1320.30000000028,Pre,image35.jpg,Classical_7.mp3,Music,7.0,7.0,7.0,7.0,,Classical_7.mp3,7.0,7.0,-1.0
